"","ESD.CODE","STATE","PHASE","PHASE.NAME","FUNCTIONAL","SYMBOL","Lower","Upper"
"21","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","CHVI8",0,12
"22","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","EPCU",0,12
"23","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","EPVI",0,12
"24","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","KRLA2",0,12
"25","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","OPPO",0,12
"26","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","PASM",25,80
"27","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","ACHY",35,80
"28","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","POFE",5,40
"29","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","POSE",5,40
"30","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","SPCR",5,40
"31","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","ELEL5",5,40
"32","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","HECOC8",5,40
"33","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","KOMA",5,40
"34","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","LESA4",5,25
"35","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","BOGR2",5,25
"36","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","CAGE2",5,25
"37","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","ARLU",0,15
"38","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","BASA3",0,15
"39","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","CRFE3",0,15
"40","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","ERDE6",0,15
"41","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","ERST4",0,15
"42","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","ERUM",0,15
"43","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","HEVI4",0,15
"44","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","IPAGA3",0,15
"45","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","OXYTR",0,15
"46","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","PECA4",0,15
"47","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","PEPU7",0,15
"48","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","PEST2",0,15
"49","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","PHHO",0,15
"50","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","PHLO2",0,15
"51","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","SPCO",0,15
"52","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","AMUT",0,40
"53","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","ARNO4",0,40
"54","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","ARTRW8",5,40
"55","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","CEMO2",0,40
"56","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","CHVIV4",0,40
"57","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","QUGA",0,40
"58","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","OPPO",0,40
"59","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","PERA4",0,25
"60","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","PUTR2",0,25
"61","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","RICE",0,25
"62","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","SYOR2",0,25
"63","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","YUGL",0,25
"64","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","ARTRV",0,25
"65","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","ARFR4",0,25
"66","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","SHRUB","FERU",0,20
"67","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","TREE","PIED",150,330
"68","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","TREE","JUOS",50,160
"69","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","ELEL5",1,25
"70","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","HECOC8",1,25
"71","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","KOMA",1,25
"72","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","PASM",1,25
"73","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","POFE",1,25
"74","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","POSE",1,25
"75","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","SPCR",1,25
"76","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","ACHY",1,25
"77","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","LESA4",0,5
"78","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","BOGR2",0,5
"79","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","GRASS","CAGE2",0,5
"80","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","ARLU",0,5
"81","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","BASA3",0,5
"82","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","CRFE3",0,5
"83","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","ERDE6",0,5
"84","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","ERST4",0,5
"85","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","ERUM",0,5
"86","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","HEVI4",0,5
"87","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","IPAGA3",0,5
"88","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","OXYTR",0,5
"89","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","PECA4",0,5
"90","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","PEPU7",0,5
"91","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","PEST2",0,5
"92","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","PHHO",0,5
"93","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","PHLO2",0,5
"94","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","SPCO",0,5
"95","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","FORB","STAC",0,5
"96","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","ARNO4",1,15
"97","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","ARTRW8",0,15
"98","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","CEMO",1,15
"99","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","CHVIV4",1,15
"100","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","OPPO",1,15
"101","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","AMUT",1,15
"102","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","QUGA",1,15
"103","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","RICE",0,5
"104","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","SYOR2",0,5
"105","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","YUGL",0,5
"106","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","ARFR4",0,5
"107","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","PERA4",0,5
"108","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","PUTR2",0,5
"109","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","SHRUB","ARTRV",0,5
"110","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","TREE","PIED",60,350
"111","R036XY114CO","REFERENCE",1.2,"MATURE PJ WOODLAND","TREE","JUOS",20,200
"112","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","PASM",90,180
"113","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","ACHY",90,135
"114","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","POSE",90,135
"115","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","PSSPS",90,135
"116","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","SPCR",45,90
"117","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","ELEL5",45,90
"118","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","POFE",45,90
"119","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","KOMA",45,90
"120","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","LESA4",10,45
"121","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","BOGR2",10,45
"122","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","CAGE2",10,45
"123","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","GRASS","HECOC8",5,35
"124","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","ARLU",10,25
"125","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","BASA3",10,25
"126","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","CRFE3",10,25
"127","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","ERDE6",10,25
"128","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","ERST4",10,25
"129","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","ERUM",10,25
"130","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","HEVI4",10,25
"131","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","IPAGA3",10,25
"132","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","OXYTR",10,25
"133","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","PECA4",10,25
"134","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","PEPU7",10,25
"135","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","PEST2",10,25
"136","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","PHLO",10,25
"137","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","PHLO2",10,25
"138","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","SPCO",10,25
"139","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","FORB","STAC",10,25
"140","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","ARTRW8",40,100
"141","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","CEMO2",5,50
"142","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","CHVIV4",5,50
"143","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","OPPO",5,50
"144","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","AMUT",5,50
"145","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","QUGA",5,50
"146","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","ARNO4",5,50
"147","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","ARTRV",5,30
"148","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","RICE",5,30
"149","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","SYRO",5,30
"150","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","YUGL",5,30
"151","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","ARFR4",5,30
"152","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","PERA4",5,30
"153","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","SHRUB","PUTR2",5,30
"154","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","TREE","PIED",10,150
"155","R036XY114CO","REFERENCE",1.3,"PERENNIAL SHRUBLAND W/ SCATTERED PJ","TREE","JUOS",5,100
"156","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","GRASS","PLJA",200,375
"157","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","GRASS","BOGR2",0,25
"158","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","GRASS","ACHY",15,75
"159","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","GRASS","ELEL5",10,75
"160","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","GRASS","HECO26",0,25
"161","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","GRASS","POSE",0,25
"162","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","SPCO",25,50
"163","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","ERIOG",5,35
"164","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","GASP",0,25
"165","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","IVAX",0,25
"166","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","LOMAT",0,25
"167","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","OENOT",0,25
"168","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","XYLOR",0,25
"169","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","ASTER",0,25
"170","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","ASTRA",0,25
"171","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","PHCR",10,35
"172","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","BRASS2",0,25
"173","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","DESCU",0,25
"174","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","FORB","ERIN4",0,25
"175","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","SHRUB","ATCO",50,150
"176","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","SHRUB","KRLA2",50,150
"177","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","SHRUB","GUSA",5,35
"178","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","SHRUB","OPPO",5,25
"179","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","SHRUB","TESP2",5,25
"180","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","SHRUB","CHVI8",0,25
"181","R034BY404CO","REFERENCE",1.1,"PERENNIAL GRASS-SHRUBS","SHRUB","ECTR",0,15
"182","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","POFE",400,600
"183","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","HECO26",10,100
"184","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","ACHY",10,100
"185","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","ELEL5",5,50
"186","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","PG",0,50
"187","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","KOMA",0,20
"188","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","PASM",150,449
"189","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","BOGR2",0,15
"190","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","GRASS","PLJA",0,15
"191","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","LUPIN",5,35
"192","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","ERIGE2",5,35
"193","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","ERRA3",5,25
"194","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","ASTRA",5,25
"195","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","CASTI2",5,25
"196","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","SPCO",5,25
"197","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","PENST",5,20
"198","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","PF",0,20
"199","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","ALLIU",0,15
"200","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","ASTER",0,15
"201","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","COUM",0,15
"202","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","HYMEN7",0,15
"203","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","PEPU7",0,15
"204","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","SENEC",0,15
"205","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","PHHO",0,10
"206","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","FORB","ERIOG",0,10
"207","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","ARTRW8",125,275
"208","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","CHVI8",10,50
"209","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","GUSA2",5,35
"210","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","PERA4",0,10
"211","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","TECA2",0,10
"212","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","ERPAP10",0,10
"213","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","CEMO2",0,25
"214","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","PUTR2",0,25
"215","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","QUGA",0,15
"216","R036XY284CO","REFERENCE",1.1,"PERRENIAL SHRUBLAND/GRASSLAND","SHRUB","OPPO",0,10
"217","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","GRASS","PLJA",25,60
"218","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","GRASS","ACHY",25,45
"219","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","GRASS","HECO26",25,45
"220","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","GRASS","ELEL5",10,30
"221","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","GRASS","KOMA",0,15
"222","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","GRASS","ARPUL",0,15
"223","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","GRASS","BOGR2",0,15
"224","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","ANRO2",0,15
"225","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","HEVI4",0,10
"226","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","PHHO",0,10
"227","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","SPCO",1,10
"228","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","STAC",0,5
"229","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","SEFLF",0,5
"230","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","MACAC3",0,5
"231","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","MIMU",0,5
"232","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","CHDO",0,5
"233","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","FORB","STPI",0,3
"234","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","SHRUB","ARTRW8",10,30
"235","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","SHRUB","ATCO",10,30
"236","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","SHRUB","ARNO4",0,15
"237","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","SHRUB","CHVI8",0,15
"238","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","SHRUB","GUSA2",0,15
"239","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","SHRUB","KRLA2",2,15
"240","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","SHRUB","OPPO",0,15
"241","R036XY113CO","REFERENCE",1.3,"PERRENIAL SHRUBLAND WITH SCATTERED PJ","SHRUB","EPVI",0,10
